,år,område,sektor,jobtype,numbers
270,2007,region-sjaelland,social,psykologi,231
271,2007,region-sjaelland,social,socialraadgivning,367
272,2007,region-sjaelland,social,tandlaege,216
273,2007,region-sjaelland,social,teknisksundhed,101
274,2007,region-sjaelland,social,terapi,326
275,2007,region-sjaelland,oevrige,elev,802
276,2007,region-sjaelland,oevrige,forsvar,0
277,2007,region-sjaelland,oevrige,frivilligt,48
278,2007,region-sjaelland,oevrige,student,307
279,2007,region-sjaelland,oevrige,studiepraktik,2
280,2007,region-sjaelland,oevrige,oevrige,1378
281,2007,region-sjaelland,oevrige,kurseroevrige,2
282,2007,fyn,it,database,15
283,2007,fyn,it,itdrift,239
284,2007,fyn,it,itkurser,1
285,2007,fyn,it,itledelse,70
286,2007,fyn,it,internet,57
287,2007,fyn,it,systemudvikling,386
288,2007,fyn,it,telekom,39
289,2007,fyn,it,virksomhedssystemer,75
290,2007,fyn,ingenioer,byggeteknik,525
291,2007,fyn,ingenioer,elektronik,241
292,2007,fyn,ingenioer,kemi,207
293,2007,fyn,ingenioer,teknikledelse,124
294,2007,fyn,ingenioer,maskiningenioer,331
295,2007,fyn,ingenioer,medicinal,112
296,2007,fyn,ingenioer,produktionsteknik,272
297,2007,fyn,ledelse,detailledelse,0
298,2007,fyn,ledelse,freelancekonsulent,23
299,2007,fyn,ledelse,hrkurser,5
300,2007,fyn,ledelse,itledelse,70
301,2007,fyn,ledelse,institutions,337
302,2007,fyn,ledelse,leder,433
303,2007,fyn,ledelse,teknikledelse,124
304,2007,fyn,ledelse,personale,149
305,2007,fyn,ledelse,projektledelse,214
306,2007,fyn,ledelse,salgschef,209
307,2007,fyn,ledelse,topledelse,44
308,2007,fyn,ledelse,virksomhedsudvikling,0
309,2007,fyn,ledelse,oekonomichef,82
310,2007,fyn,handel,bud,122
311,2007,fyn,handel,boernepasning,103
312,2007,fyn,handel,detailhandel,2186
313,2007,fyn,handel,ejendomsservice,107
314,2007,fyn,handel,frisoer,76
315,2007,fyn,handel,hotel,1148
316,2007,fyn,handel,rengoering,1116
317,2007,fyn,handel,service,301
318,2007,fyn,handel,sikkerhed,94
319,2007,fyn,industri,blik,277
320,2007,fyn,industri,byggeri,506
321,2007,fyn,industri,elektriker,468
322,2007,fyn,industri,industri,500
323,2007,fyn,industri,jern,769
324,2007,fyn,industri,lager,496
325,2007,fyn,industri,landbrug,290
326,2007,fyn,industri,maling,123
327,2007,fyn,industri,mekanik,410
328,2007,fyn,industri,naeringsmiddel,233
329,2007,fyn,industri,tekstil,82
330,2007,fyn,industri,transport,711
331,2007,fyn,industri,traeindustri,72
332,2007,fyn,industri,toemrer,276
333,2007,fyn,salg,design,33
334,2007,fyn,salg,ejendomsmaegler,33
335,2007,fyn,salg,grafisk,143
336,2007,fyn,salg,kommunikation,96
337,2007,fyn,salg,kultur,92
338,2007,fyn,salg,marketing,188
339,2007,fyn,salg,salg,1396
340,2007,fyn,salg,salgskurser,0
341,2007,fyn,salg,franchise,13
342,2007,fyn,salg,telemarketing,161
343,2007,fyn,undervisning,bibliotek,34
344,2007,fyn,undervisning,forskning,752
345,2007,fyn,undervisning,laerer,820
346,2007,fyn,undervisning,paedagog,2171
347,2007,fyn,kontor,akademisk,0
348,2007,fyn,kontor,ejendomsmaegler,33
349,2007,fyn,kontor,ejendomsservice,107
350,2007,fyn,kontor,finans,408
351,2007,fyn,kontor,indkoeb,142
352,2007,fyn,kontor,jura,76
353,2007,fyn,kontor,kontor,1038
354,2007,fyn,kontor,kontorkurser,4
355,2007,fyn,kontor,kontorelev,83
356,2007,fyn,kontor,logistik,178
357,2007,fyn,kontor,offentlig,360
358,2007,fyn,kontor,oversaettelse,33
359,2007,fyn,kontor,sekretaer,415
360,2007,fyn,kontor,oekonomi,856
361,2007,fyn,social,laege,425
362,2007,fyn,social,laegesekretaer,268
363,2007,fyn,social,pleje,1619
