,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
358,33,380597,3528,24824,oversaettelse,kontor,fyn,2007
359,415,380597,3528,24824,sekretaer,kontor,fyn,2007
360,856,380597,3528,24824,oekonomi,kontor,fyn,2007
361,425,380597,4462,24824,laege,social,fyn,2007
362,268,380597,4462,24824,laegesekretaer,social,fyn,2007
363,1619,380597,4462,24824,pleje,social,fyn,2007
364,150,380597,4462,24824,psykologi,social,fyn,2007
365,371,380597,4462,24824,socialraadgivning,social,fyn,2007
366,115,380597,4462,24824,tandlaege,social,fyn,2007
367,59,380597,4462,24824,teknisksundhed,social,fyn,2007
368,262,380597,4462,24824,terapi,social,fyn,2007
369,509,380597,1529,24824,elev,oevrige,fyn,2007
370,0,380597,1529,24824,forsvar,oevrige,fyn,2007
371,33,380597,1529,24824,frivilligt,oevrige,fyn,2007
372,192,380597,1529,24824,student,oevrige,fyn,2007
373,3,380597,1529,24824,studiepraktik,oevrige,fyn,2007
374,716,380597,1529,24824,oevrige,oevrige,fyn,2007
375,10,380597,1529,24824,kurseroevrige,oevrige,fyn,2007
376,26,380597,1053,26736,database,it,region-nordjylland,2007
377,258,380597,1053,26736,itdrift,it,region-nordjylland,2007
378,1,380597,1053,26736,itkurser,it,region-nordjylland,2007
379,84,380597,1053,26736,itledelse,it,region-nordjylland,2007
380,50,380597,1053,26736,internet,it,region-nordjylland,2007
381,602,380597,1053,26736,systemudvikling,it,region-nordjylland,2007
382,93,380597,1053,26736,telekom,it,region-nordjylland,2007
383,131,380597,1053,26736,virksomhedssystemer,it,region-nordjylland,2007
384,511,380597,1690,26736,byggeteknik,ingenioer,region-nordjylland,2007
385,258,380597,1690,26736,elektronik,ingenioer,region-nordjylland,2007
386,182,380597,1690,26736,kemi,ingenioer,region-nordjylland,2007
387,152,380597,1690,26736,teknikledelse,ingenioer,region-nordjylland,2007
388,461,380597,1690,26736,maskiningenioer,ingenioer,region-nordjylland,2007
