,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
319,96,255002,1758,15560,blik,industri,fyn,2014
320,189,255002,1758,15560,byggeri,industri,fyn,2014
321,193,255002,1758,15560,elektriker,industri,fyn,2014
322,153,255002,1758,15560,industri,industri,fyn,2014
323,216,255002,1758,15560,jern,industri,fyn,2014
324,149,255002,1758,15560,lager,industri,fyn,2014
325,115,255002,1758,15560,landbrug,industri,fyn,2014
326,43,255002,1758,15560,maling,industri,fyn,2014
327,219,255002,1758,15560,mekanik,industri,fyn,2014
328,130,255002,1758,15560,naeringsmiddel,industri,fyn,2014
329,28,255002,1758,15560,tekstil,industri,fyn,2014
330,258,255002,1758,15560,transport,industri,fyn,2014
331,28,255002,1758,15560,traeindustri,industri,fyn,2014
332,116,255002,1758,15560,toemrer,industri,fyn,2014
333,17,255002,1852,15560,design,salg,fyn,2014
334,23,255002,1852,15560,ejendomsmaegler,salg,fyn,2014
335,46,255002,1852,15560,grafisk,salg,fyn,2014
336,105,255002,1852,15560,kommunikation,salg,fyn,2014
337,96,255002,1852,15560,kultur,salg,fyn,2014
338,180,255002,1852,15560,marketing,salg,fyn,2014
339,1164,255002,1852,15560,salg,salg,fyn,2014
340,7,255002,1852,15560,salgskurser,salg,fyn,2014
341,22,255002,1852,15560,franchise,salg,fyn,2014
342,142,255002,1852,15560,telemarketing,salg,fyn,2014
343,33,255002,2466,15560,bibliotek,undervisning,fyn,2014
344,603,255002,2466,15560,forskning,undervisning,fyn,2014
345,814,255002,2466,15560,laerer,undervisning,fyn,2014
346,855,255002,2466,15560,paedagog,undervisning,fyn,2014
347,0,255002,1892,15560,akademisk,kontor,fyn,2014
348,23,255002,1892,15560,ejendomsmaegler,kontor,fyn,2014
349,65,255002,1892,15560,ejendomsservice,kontor,fyn,2014
350,210,255002,1892,15560,finans,kontor,fyn,2014
351,85,255002,1892,15560,indkoeb,kontor,fyn,2014
352,53,255002,1892,15560,jura,kontor,fyn,2014
353,555,255002,1892,15560,kontor,kontor,fyn,2014
354,1,255002,1892,15560,kontorkurser,kontor,fyn,2014
355,70,255002,1892,15560,kontorelev,kontor,fyn,2014
356,111,255002,1892,15560,logistik,kontor,fyn,2014
357,285,255002,1892,15560,offentlig,kontor,fyn,2014
358,32,255002,1892,15560,oversaettelse,kontor,fyn,2014
359,130,255002,1892,15560,sekretaer,kontor,fyn,2014
360,442,255002,1892,15560,oekonomi,kontor,fyn,2014
361,360,255002,3109,15560,laege,social,fyn,2014
362,224,255002,3109,15560,laegesekretaer,social,fyn,2014
363,765,255002,3109,15560,pleje,social,fyn,2014
364,117,255002,3109,15560,psykologi,social,fyn,2014
365,186,255002,3109,15560,socialraadgivning,social,fyn,2014
366,66,255002,3109,15560,tandlaege,social,fyn,2014
367,42,255002,3109,15560,teknisksundhed,social,fyn,2014
368,230,255002,3109,15560,terapi,social,fyn,2014
369,341,255002,2174,15560,elev,oevrige,fyn,2014
370,0,255002,2174,15560,forsvar,oevrige,fyn,2014
371,611,255002,2174,15560,frivilligt,oevrige,fyn,2014
372,496,255002,2174,15560,student,oevrige,fyn,2014
373,156,255002,2174,15560,studiepraktik,oevrige,fyn,2014
374,524,255002,2174,15560,oevrige,oevrige,fyn,2014
375,1,255002,2174,15560,kurseroevrige,oevrige,fyn,2014
376,27,255002,691,16927,database,it,region-nordjylland,2014
377,190,255002,691,16927,itdrift,it,region-nordjylland,2014
378,1,255002,691,16927,itkurser,it,region-nordjylland,2014
379,54,255002,691,16927,itledelse,it,region-nordjylland,2014
380,49,255002,691,16927,internet,it,region-nordjylland,2014
381,417,255002,691,16927,systemudvikling,it,region-nordjylland,2014
382,21,255002,691,16927,telekom,it,region-nordjylland,2014
383,80,255002,691,16927,virksomhedssystemer,it,region-nordjylland,2014
384,293,255002,1148,16927,byggeteknik,ingenioer,region-nordjylland,2014
385,181,255002,1148,16927,elektronik,ingenioer,region-nordjylland,2014
386,158,255002,1148,16927,kemi,ingenioer,region-nordjylland,2014
387,129,255002,1148,16927,teknikledelse,ingenioer,region-nordjylland,2014
388,355,255002,1148,16927,maskiningenioer,ingenioer,region-nordjylland,2014
389,102,255002,1148,16927,medicinal,ingenioer,region-nordjylland,2014
390,249,255002,1148,16927,produktionsteknik,ingenioer,region-nordjylland,2014
391,0,255002,1431,16927,detailledelse,ledelse,region-nordjylland,2014
392,48,255002,1431,16927,freelancekonsulent,ledelse,region-nordjylland,2014
393,1,255002,1431,16927,hrkurser,ledelse,region-nordjylland,2014
394,54,255002,1431,16927,itledelse,ledelse,region-nordjylland,2014
395,223,255002,1431,16927,institutions,ledelse,region-nordjylland,2014
396,476,255002,1431,16927,leder,ledelse,region-nordjylland,2014
397,129,255002,1431,16927,teknikledelse,ledelse,region-nordjylland,2014
398,117,255002,1431,16927,personale,ledelse,region-nordjylland,2014
399,304,255002,1431,16927,projektledelse,ledelse,region-nordjylland,2014
400,110,255002,1431,16927,salgschef,ledelse,region-nordjylland,2014
401,30,255002,1431,16927,topledelse,ledelse,region-nordjylland,2014
402,0,255002,1431,16927,virksomhedsudvikling,ledelse,region-nordjylland,2014
403,64,255002,1431,16927,oekonomichef,ledelse,region-nordjylland,2014
404,33,255002,2873,16927,bud,handel,region-nordjylland,2014
405,69,255002,2873,16927,boernepasning,handel,region-nordjylland,2014
406,1266,255002,2873,16927,detailhandel,handel,region-nordjylland,2014
407,69,255002,2873,16927,ejendomsservice,handel,region-nordjylland,2014
408,58,255002,2873,16927,frisoer,handel,region-nordjylland,2014
409,840,255002,2873,16927,hotel,handel,region-nordjylland,2014
410,435,255002,2873,16927,rengoering,handel,region-nordjylland,2014
411,166,255002,2873,16927,service,handel,region-nordjylland,2014
412,42,255002,2873,16927,sikkerhed,handel,region-nordjylland,2014
413,82,255002,1896,16927,blik,industri,region-nordjylland,2014
414,158,255002,1896,16927,byggeri,industri,region-nordjylland,2014
415,247,255002,1896,16927,elektriker,industri,region-nordjylland,2014
416,184,255002,1896,16927,industri,industri,region-nordjylland,2014
417,301,255002,1896,16927,jern,industri,region-nordjylland,2014
418,124,255002,1896,16927,lager,industri,region-nordjylland,2014
419,129,255002,1896,16927,landbrug,industri,region-nordjylland,2014
420,30,255002,1896,16927,maling,industri,region-nordjylland,2014
421,257,255002,1896,16927,mekanik,industri,region-nordjylland,2014
422,179,255002,1896,16927,naeringsmiddel,industri,region-nordjylland,2014
423,44,255002,1896,16927,tekstil,industri,region-nordjylland,2014
424,213,255002,1896,16927,transport,industri,region-nordjylland,2014
